apiKeyId,provider,model,promptTokens,completionTokens,costUsd,costEstimated,latencyMs,cacheHit,cacheKind,status,createdAt
key-1,local,local-small,26,43,0.00001980,f,121,f,,success,2026-08-24 18:01:45.649
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:45.699
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:45.765
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:45.831
key-1,local,local-small,26,43,0.00001980,f,260,f,,success,2026-08-24 18:01:45.945
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:45.967
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:46.033
key-1,local,local-small,31,48,0.00002230,f,122,f,,success,2026-08-24 18:01:46.045
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:46.097
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:46.232
key-1,local,local-small,31,48,0.00002230,f,127,f,,success,2026-08-24 18:01:46.313
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:46.431
key-1,local,local-small,31,48,0.00002230,f,120,f,,success,2026-08-24 18:01:46.448
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:46.498
key-1,local,local-small,30,47,0.00002180,f,120,f,,success,2026-08-24 18:01:46.511
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:46.566
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:46.764
key-1,local,local-small,32,49,0.00002280,f,133,f,,success,2026-08-24 18:01:46.792
key-1,local,local-small,31,48,0.00002230,f,122,f,,success,2026-08-24 18:01:46.843
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:46.964
key-1,local,local-small,31,48,0.00002230,f,133,f,,success,2026-08-24 18:01:46.99
key-1,local,local-small,28,45,0.00002080,f,134,f,,success,2026-08-24 18:01:47.06
key-1,cache,local-small,0,0,0.00000000,f,4,t,exact,success,2026-08-24 18:01:47.112
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:47.168
key-1,cache,local-small,0,0,0.00000000,f,4,t,exact,success,2026-08-24 18:01:47.231
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:47.366
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:47.431
key-1,local,local-small,30,47,0.00002180,f,270,f,,success,2026-08-24 18:01:47.445
key-1,local,local-small,31,48,0.00002230,f,124,f,,success,2026-08-24 18:01:47.446
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:47.566
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:47.633
key-1,local,local-small,26,43,0.00001980,f,121,f,,success,2026-08-24 18:01:47.643
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:47.765
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:47.83
key-1,local,local-small,32,49,0.00002280,f,124,f,,success,2026-08-24 18:01:47.86
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:48.031
key-1,local,local-small,31,48,0.00002230,f,124,f,,success,2026-08-24 18:01:48.112
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:48.166
key-1,local,local-small,29,46,0.00002130,f,275,f,,success,2026-08-24 18:01:48.198
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:48.231
key-1,local,local-small,31,48,0.00002230,f,120,f,,success,2026-08-24 18:01:48.245
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:48.299
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:48.43
key-1,local,local-small,30,47,0.00002180,f,125,f,,success,2026-08-24 18:01:48.512
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:48.565
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:48.632
key-1,local,local-small,30,47,0.00002180,f,120,f,,success,2026-08-24 18:01:48.64
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:48.696
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:48.9
key-1,local,local-small,34,51,0.00002380,f,121,f,,success,2026-08-24 18:01:48.981
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:49.033
key-1,local,local-small,27,44,0.00002030,f,259,f,,success,2026-08-24 18:01:49.048
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:49.101
key-1,local,local-small,31,48,0.00002230,f,121,f,,success,2026-08-24 18:01:49.107
key-1,cache,local-small,0,0,0.00000000,f,38,t,semantic,success,2026-08-24 18:01:49.202
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:49.232
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:49.299
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:49.364
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:49.431
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:49.496
key-1,local,local-small,29,46,0.00002130,f,128,f,,success,2026-08-24 18:01:49.711
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:49.764
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:49.831
key-1,local,local-small,32,49,0.00002280,f,120,f,,success,2026-08-24 18:01:49.841
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:49.907
key-1,local,local-small,29,46,0.00002130,f,295,f,,success,2026-08-24 18:01:49.962
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:50.032
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:50.166
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:50.235
key-1,local,local-small,31,48,0.00002230,f,277,f,,success,2026-08-24 18:01:50.291
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:50.298
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:50.365
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:50.431
key-1,local-backup,local-small,32,49,0.00002280,f,417,f,,success,2026-08-24 18:01:50.545
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:50.633
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:50.698
key-1,local,local-small,32,49,0.00002280,f,133,f,,success,2026-08-24 18:01:50.744
key-1,local,local-small,28,45,0.00002080,f,279,f,,success,2026-08-24 18:01:50.809
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:50.834
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:50.897
key-1,local,local-small,29,46,0.00002130,f,134,f,,success,2026-08-24 18:01:50.941
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:50.966
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:51.031
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:51.098
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:51.166
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:51.232
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:51.365
key-1,local,local-small,29,46,0.00002130,f,124,f,,success,2026-08-24 18:01:51.444
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:51.498
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:51.564
key-1,local,local-small,29,46,0.00002130,f,120,f,,success,2026-08-24 18:01:51.579
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:51.698
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:51.764
key-1,local,local-small,28,45,0.00002080,f,133,f,,success,2026-08-24 18:01:51.814
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:51.833
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:51.897
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:51.964
key-1,local,local-small,32,49,0.00002280,f,125,f,,success,2026-08-24 18:01:52.179
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:52.233
key-1,local,local-small,27,44,0.00002030,f,120,f,,success,2026-08-24 18:01:52.313
key-1,cache,local-small,0,0,0.00000000,f,37,t,semantic,success,2026-08-24 18:01:52.403
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:52.431
key-1,local,local-small,29,46,0.00002130,f,121,f,,success,2026-08-24 18:01:52.442
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:52.497
key-1,local-backup,local-small,30,47,0.00002180,f,395,f,,success,2026-08-24 18:01:52.515
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:52.566
key-1,cache,local-small,0,0,0.00000000,f,4,t,exact,success,2026-08-24 18:01:52.698
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:52.763
key-1,local,local-small,29,46,0.00002130,f,121,f,,success,2026-08-24 18:01:52.775
key-1,cache,local-small,0,0,0.00000000,f,4,t,exact,success,2026-08-24 18:01:52.965
key-1,local,local-small,28,45,0.00002080,f,135,f,,success,2026-08-24 18:01:52.996
